Year,Region,Yields,Maize,Rice,Cassava,Yam,Plantain,Tomatoes,Temperature,Pesticides,Rainfall,N2O
,Eastern Region,8.92,2.71,4.58,21.80,21.58,1.32,1.54,27.69,3572.64,3176.50,71.72
,Volta Region,9.19,2.80,4.80,22.55,22.24,1.24,1.50,27.69,3780.86,3338.00,75.51
2015,Northern Region,7.11,2.14,3.29,17.30,17.59,1.20,1.11,27.61,2323.36,2207.50,48.96
,Upper East region,7.44,2.24,3.51,18.05,18.26,1.31,1.26,27.75,2531.57,2369.00,52.75
,Upper West Region,2.24,3.51,18.05,18.26,1.31,1.26,27.75,2531.57,2369.00,52.75,56.54
,Western Region,2.33,3.72,18.80,18.92,1.28,1.31,27.67,2739.79,2530.50,56.54,60.34
,Eastern Region,2.43,3.94,19.55,19.59,0.83,1.08,27.68,2948.00,2692.00,60.34,64.13
,Volta Region,2.52,4.15,20.30,20.25,0.69,0.88,27.70,3156.21,2853.50,64.13,67.92
2016,Northern Region,2.61,4.37,21.05,20.91,1.06,1.34,27.70,3364.43,3015.00,67.92,48.96
,Upper East region,2.14,3.29,17.30,17.59,1.20,1.11,27.61,2323.36,2207.50,48.96,52.75
,Upper West Region,7.73,2.33,3.72,18.80,18.92,1.28,1.31,27.67,2739.79,2530.50,56.54
,Western Region,7.90,2.43,3.94,19.55,19.59,0.83,1.08,27.68,2948.00,2692.00,60.34
,Eastern Region,7.90,2.43,3.94,19.55,19.59,0.83,1.08,27.68,2948.00,2692.00,60.34
,Volta Region,8.13,2.52,4.15,20.30,20.25,0.69,0.88,27.70,3156.21,2853.50,64.13
2017,Northern Region,8.56,2.61,4.37,21.05,20.91,1.06,1.34,27.70,3364.43,3015.00,67.92
,Upper East region,8.92,2.71,4.58,21.80,21.58,1.32,1.54,27.69,3572.64,3176.50,71.72
,Upper West Region,9.19,2.80,4.80,22.55,22.24,1.24,1.50,27.69,3780.86,3338.00,75.51
,Western Region,7.21,1.30,1.36,10.54,11.62,11.71,6.70,27.69,39.00,282.00,8.07
,Eastern Region,7.34,1.39,1.57,11.29,12.28,10.88,6.60,27.66,148.00,748.00,13.84
,Volta Region,6.58,1.50,1.99,12.20,13.03,9.70,1.04,27.54,384.00,1187.00,18.20
2018,Northern Region,6.70,2.05,3.08,16.55,16.93,0.74,0.86,28.51,2115.14,2046.00,45.16
,Upper East region,7.11,2.14,3.29,17.30,17.59,1.20,1.11,27.61,2323.36,2207.50,48.96
,Upper West Region,7.44,2.24,3.51,18.05,18.26,1.31,1.26,27.75,2531.57,2369.00,52.75
,Western Region,7.73,2.33,3.72,18.80,18.92,1.28,1.31,27.67,2739.79,2530.50,56.54
,Eastern Region,7.90,2.43,3.94,19.55,19.59,0.83,1.08,27.68,2948.00,2692.00,60.34
,Volta Region,8.13,2.52,4.15,20.30,20.25,0.69,0.88,27.70,3156.21,2853.50,64.13
2019,Northern Region,8.56,2.61,4.37,21.05,20.91,1.06,1.34,27.70,3364.43,3015.00,67.92
,Upper East region,8.92,2.71,4.58,21.80,21.58,1.32,1.54,27.69,3572.64,3176.50,71.72
,Upper West Region,9.19,2.80,4.80,22.55,22.24,1.24,1.50,27.69,3780.86,3338.00,75.51
,Western Region,7.11,2.14,3.29,17.30,17.59,1.20,1.11,27.61,2323.36,2207.50,48.96
,Eastern Region,7.44,2.24,3.51,18.05,18.26,1.31,1.26,27.75,2531.57,2369.00,52.75
,Volta Region,7.73,2.33,3.72,18.80,18.92,1.28,1.31,27.67,2739.79,2530.50,56.54
2020,Northern Region,7.90,2.43,3.94,19.55,19.59,0.83,1.08,27.68,2948.00,2692.00,60.34
,Upper East region,8.13,2.52,4.15,20.30,20.25,0.69,0.88,27.70,3156.21,2853.50,64.13
,Upper West Region,8.56,2.61,4.37,21.05,20.91,1.06,1.34,27.70,3364.43,3015.00,67.92
,Western Region,8.92,2.71,4.58,21.80,21.58,1.32,1.54,27.69,3572.64,3176.50,71.72
,Eastern Region,9.19,2.80,4.80,22.55,22.24,1.24,1.50,27.69,3780.86,3338.00,75.51
,Volta Region,7.11,2.14,3.29,17.30,17.59,1.20,1.11,27.61,2323.36,2207.50,48.96
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
